Game,MoveNum,AI,Column,Time,Nodes,Winner
4,27,0,1,0.003394,22,2
4,28,1,5,0.02788,173,2
4,29,0,6,0.002149,16,2
4,30,1,0,0.005478,36,2
4,31,0,2,0.001097,7,2
4,32,1,2,0.002171,20,2
4,33,0,4,0.001072,7,2
4,34,1,4,0.004586,24,2
4,35,0,2,0.0,7,2
4,36,1,2,0.0,7,2
5,1,0,3,0.004117,27,2
5,2,1,1,0.129262,797,2
5,3,0,3,0.008921,50,2
5,4,1,3,0.152393,978,2
5,5,0,1,0.013564,40,2
5,6,1,5,0.157741,962,2
5,7,0,3,0.001047,34,2
5,8,1,0,0.064269,397,2
5,9,0,5,0.008094,33,2
5,10,1,6,0.142855,865,2
5,11,0,1,0.0,27,2
5,12,1,0,0.06073,329,2
5,13,0,0,0.00182,21,2
5,14,1,1,0.050475,386,2
5,15,0,5,0.015781,34,2
5,16,1,6,0.154528,908,2
5,17,0,6,0.008428,51,2
5,18,1,5,0.117693,736,2
5,19,0,3,0.0,27,2
5,20,1,0,0.063251,368,2
5,21,0,1,0.0,30,2
5,22,1,6,0.144955,797,2
5,23,0,5,0.006282,36,2
5,24,1,0,0.052749,355,2
5,25,0,6,0.0,41,2
5,26,1,3,0.073266,381,2
5,27,0,1,0.0,22,2
5,28,1,5,0.020909,173,2
5,29,0,6,0.017203,16,2
5,30,1,0,0.0,36,2
5,31,0,2,0.0,7,2
5,32,1,2,0.0,20,2
5,33,0,4,0.0,7,2
5,34,1,4,0.013996,24,2
5,35,0,2,0.001084,7,2
5,36,1,2,0.001049,7,2
6,1,0,3,0.004375,27,2
6,2,1,1,0.126739,797,2
6,3,0,3,0.008174,50,2
6,4,1,3,0.156743,978,2
6,5,0,1,0.006406,40,2
6,6,1,5,0.157044,962,2
6,7,0,3,0.00538,34,2
6,8,1,0,0.064449,397,2
6,9,0,5,0.005008,33,2
6,10,1,6,0.143158,865,2
6,11,0,1,0.00419,27,2
6,12,1,0,0.051752,329,2
6,13,0,0,0.00331,21,2
6,14,1,1,0.050618,386,2
6,15,0,5,0.017893,34,2
6,16,1,6,0.142976,908,2
6,17,0,6,0.015729,51,2
6,18,1,5,0.128597,736,2
6,19,0,3,0.004734,27,2
6,20,1,0,0.060849,368,2
6,21,0,1,0.004478,30,2
6,22,1,6,0.123942,797,2
6,23,0,5,0.015688,36,2
6,24,1,0,0.051047,355,2
6,25,0,6,0.0,41,2
6,26,1,3,0.063086,381,2
6,27,0,1,0.015674,22,2
6,28,1,5,0.029138,173,2
6,29,0,6,0.00264,16,2
6,30,1,0,0.0,36,2
6,31,0,2,0.0,7,2
6,32,1,2,0.0,20,2
6,33,0,4,0.0,7,2
6,34,1,4,0.015516,24,2
6,35,0,2,0.0,7,2
6,36,1,2,0.0,7,2
7,1,0,3,0.005671,27,2
7,2,1,1,0.126744,797,2
7,3,0,3,0.007634,50,2
7,4,1,3,0.157904,978,2
7,5,0,1,0.0063,40,2
7,6,1,5,0.160026,962,2
7,7,0,3,0.005779,34,2
7,8,1,0,0.067301,397,2
7,9,0,5,0.005807,33,2
7,10,1,6,0.146971,865,2
7,11,0,1,0.001995,27,2
7,12,1,0,0.058533,329,2
7,13,0,0,0.003346,21,2
7,14,1,1,0.052316,386,2
7,15,0,5,0.015833,34,2
7,16,1,6,0.14355,908,2
7,17,0,6,0.015929,51,2
7,18,1,5,0.134068,736,2
7,19,0,3,0.006516,27,2
7,20,1,0,0.077032,368,2
